UrlOPC;Description;Mode;Outgoing Address;Format;Scale;Offset
GAR_ABT_DNP.EAF.[SE6-RES-EA-1AT].Value;GAR_ABT_DNP.EAF.[SE6-RES-EA-1AT];Write;GAR_ABT_DNP.EAF.[SE6-RES-EA-1AT].Value;Float;1;0
GAR_ABT_DNP.EAF.[SE6-RES-EA-2AT].Value;GAR_ABT_DNP.EAF.[SE6-RES-EA-2AT];Write;GAR_ABT_DNP.EAF.[SE6-RES-EA-2AT].Value;Float;1;0
GAR_ABT_DNP.EAF.[SE6-RES-EA-3AT].Value;GAR_ABT_DNP.EAF.[SE6-RES-EA-3AT];Write;GAR_ABT_DNP.EAF.[SE6-RES-EA-3AT].Value;Float;1;0
GAR_ABT_DNP.EAF.[SE6-RES-EA-4AT].Value;GAR_ABT_DNP.EAF.[SE6-RES-EA-4AT];Write;GAR_ABT_DNP.EAF.[SE6-RES-EA-4AT].Value;Float;1;0
GAR_ABT_DNP.EAF.[SE6-RES-EA-5AT].Value;GAR_ABT_DNP.EAF.[SE6-RES-EA-5AT];Write;GAR_ABT_DNP.EAF.[SE6-RES-EA-5AT].Value;Float;1;0
GAR_ABT_DNP.EAF.[SE6-RES-EA-6AT].Value;GAR_ABT_DNP.EAF.[SE6-RES-EA-6AT];Write;GAR_ABT_DNP.EAF.[SE6-RES-EA-6AT].Value;Float;1;0
GAR_ABT_DNP.EAF.[SE6-RES-EA-7AT].Value;GAR_ABT_DNP.EAF.[SE6-RES-EA-7AT];Write;GAR_ABT_DNP.EAF.[SE6-RES-EA-7AT].Value;Float;1;0
GAR_ABT_DNP.EAF.[SE6-RES-EA-8AT].Value;GAR_ABT_DNP.EAF.[SE6-RES-EA-8AT];Write;GAR_ABT_DNP.EAF.[SE6-RES-EA-8AT].Value;Float;1;0
GAR_ABT_DNP.EAF.[SE6-RES-EA-9AT].Value;GAR_ABT_DNP.EAF.[SE6-RES-EA-9AT];Write;GAR_ABT_DNP.EAF.[SE6-RES-EA-9AT].Value;Float;1;0
GAR_ABT_DNP.EAF.[SE6-RES-EA-10AT].Value;GAR_ABT_DNP.EAF.[SE6-RES-EA-10AT];Write;GAR_ABT_DNP.EAF.[SE6-RES-EA-10AT].Value;Float;1;0
GAR_ABT_DNP.EAF.[SE6-RES-EA-11AT].Value;GAR_ABT_DNP.EAF.[SE6-RES-EA-11AT];Write;GAR_ABT_DNP.EAF.[SE6-RES-EA-11AT].Value;Float;1;0
GAR_ABT_DNP.EAF.[SE6-RES-EA-12AT].Value;GAR_ABT_DNP.EAF.[SE6-RES-EA-12AT];Write;GAR_ABT_DNP.EAF.[SE6-RES-EA-12AT].Value;Float;1;0
GAR_ABT_DNP.EAF.[SE6-RES-EA-13AT].Value;GAR_ABT_DNP.EAF.[SE6-RES-EA-13AT];Write;GAR_ABT_DNP.EAF.[SE6-RES-EA-13AT].Value;Float;1;0
GAR_ABT_DNP.EAF.[SE6-RES-EA-14AT].Value;GAR_ABT_DNP.EAF.[SE6-RES-EA-14AT];Write;GAR_ABT_DNP.EAF.[SE6-RES-EA-14AT].Value;Float;1;0
GAR_ABT_DNP.EAF.[SE6-RES-EA-15AT].Value;GAR_ABT_DNP.EAF.[SE6-RES-EA-15AT];Write;GAR_ABT_DNP.EAF.[SE6-RES-EA-15AT].Value;Float;1;0
GAR_ABT_DNP.EAF.[SE6-RES-EA-16AT].Value;GAR_ABT_DNP.EAF.[SE6-RES-EA-16AT];Write;GAR_ABT_DNP.EAF.[SE6-RES-EA-16AT].Value;Float;1;0
GAR_ABT_DNP.EAM.[SE6-ET-12SDC-M].Value;GAR_ABT_DNP.EAM.[SE6-ET-12SDC-M];Write;GAR_ABT_DNP.EAM.[SE6-ET-12SDC-M].Value;Float;1;0
GAR_ABT_DNP.EAM.[SE6-ET-23SDC-M].Value;GAR_ABT_DNP.EAM.[SE6-ET-23SDC-M];Write;GAR_ABT_DNP.EAM.[SE6-ET-23SDC-M].Value;Float;1;0
GAR_ABT_DNP.EAM.[SE6-ET-31SDC-M].Value;GAR_ABT_DNP.EAM.[SE6-ET-31SDC-M];Write;GAR_ABT_DNP.EAM.[SE6-ET-31SDC-M].Value;Float;1;0
GAR_ABT_DNP.EAM.[SE6-IT-01SDC-M].Value;GAR_ABT_DNP.EAM.[SE6-IT-01SDC-M];Write;GAR_ABT_DNP.EAM.[SE6-IT-01SDC-M].Value;Float;1;0
GAR_ABT_DNP.EAM.[SE6-IT-02SDC-M].Value;GAR_ABT_DNP.EAM.[SE6-IT-02SDC-M];Write;GAR_ABT_DNP.EAM.[SE6-IT-02SDC-M].Value;Float;1;0
GAR_ABT_DNP.EAM.[SE6-IT-03SDC-M].Value;GAR_ABT_DNP.EAM.[SE6-IT-03SDC-M];Write;GAR_ABT_DNP.EAM.[SE6-IT-03SDC-M].Value;Float;1;0
GAR_ABT_DNP.EAM.[SE6-FT-01SDC-M].Value;GAR_ABT_DNP.EAM.[SE6-FT-01SDC-M];Write;GAR_ABT_DNP.EAM.[SE6-FT-01SDC-M].Value;Float;1;0
